Race,Year,CR,Gender
B,2016,2:03:02,M
B,2015,2:03:02,M
B,2014,2:03:02,M
B,2013,2:03:02,M
B,2012,2:03:02,M
B,2011,2:05:52,M
B,2010,2:07:14,M
B,2009,2:07:14,M
B,2008,2:07:14,M
B,2007,2:07:14,M
B,2006,2:07:15,M
B,2005,2:07:15,M
B,2004,2:07:15,M
B,2003,2:07:15,M
B,2002,2:07:15,M
B,2001,2:07:15,M
B,2000,2:07:15,M
B,1998,2:07:15,M
C,2016,2:03:45,M
C,2015,2:03:45,M
C,2014,2:03:45,M
C,2013,2:04:38,M
C,2012,2:05:37,M
C,2011,2:05:41,M
C,2010,2:05:41,M
C,2009,2:05:42,M
C,2008,2:05:42,M
C,2007,2:05:42,M
C,2006,2:05:42,M
C,2005,2:05:42,M
C,2004,2:05:42,M
C,2003,2:05:42,M
C,2002,2:05:42,M
C,2001,2:05:42,M
C,2000,2:05:42,M
C,1999,2:06:54,M
C,1998,2:07:10,M
C,1997,2:07:13,M
C,1996,2:07:13,M
NY,2016,2:05:06,M
NY,2015,2:05:06,M
NY,2014,2:05:06,M
NY,2013,2:05:06,M
NY,2012,2:05:06,M
NY,2011,2:07:42,M
NY,2010,2:07:42,M
NY,2009,2:07:42,M
NY,2008,2:07:42,M
NY,2007,2:07:42,M
NY,2006,2:07:42,M
NY,2005,2:07:42,M
NY,2004,2:07:42,M
NY,2003,2:07:42,M
NY,2002,2:07:42,M
NY,2001,2:08:01,M
NY,2000,2:08:01,M
NY,1999,2:08:01,M
NY,1998,2:08:01,M
NY,1997,2:08:01,M
NY,1996,2:08:01,M
NY,1995,2:08:01,M
NY,1994,2:08:01,M
NY,1993,2:08:01,M
TC,2016,2:10:05,M
TC,2015,2:10:05,M
TC,2014,2:10:05,M
TC,2013,2:10:05,M
TC,2012,2:10:05,M
TC,2011,2:10:05,M
TC,2010,2:10:05,M
TC,2009,2:10:05,M
TC,2008,2:10:05,M
TC,2007,2:10:05,M
TC,2006,2:10:05,M
TC,2005,2:10:05,M
TC,2004,2:10:05,M
TC,2003,2:10:05,M
TC,2002,2:10:05,M
TC,2001,2:10:05,M
TC,2000,2:10:05,M
D,2016,2:09:37,M
D,2015,2:09:37,M
D,2014,2:09:37,M
D,2013,2:09:37,M
D,2012,2:09:37,M
D,2011,2:09:37,M
D,2010,2:09:37,M
D,2009,2:09:37,M
D,2008,2:09:37,M
D,2007,2:09:37,M
D,2006,2:09:37,M
D,2005,2:09:37,M
D,2004,2:09:37,M
D,2003,2:09:37,M
D,2002,2:09:37,M
D,2001,2:09:37,M
D,2000,2:09:37,M
B,2016,2:18:57,F
B,2015,2:18:57,F
B,2014,2:20:43,F
B,2013,2:20:43,F
B,2012,2:20:43,F
B,2011,2:20:43,F
B,2010,2:20:43,F
B,2009,2:20:43,F
B,2008,2:20:43,F
B,2007,2:20:43,F
B,2006,2:20:43,F
B,2005,2:20:43,F
B,2004,2:20:43,F
B,2003,2:20:43,F
B,2002,2:21:45,F
B,2001,2:21:45,F
B,2000,2:21:45,F
B,1998,2:21:45,F
C,2016,2:17:18,F
C,2015,2:17:18,F
C,2014,2:17:18,F
C,2013,2:17:18,F
C,2012,2:17:18,F
C,2011,2:17:18,F
C,2010,2:17:18,F
C,2009,2:17:18,F
C,2008,2:17:18,F
C,2007,2:17:18,F
C,2006,2:17:18,F
C,2005,2:17:18,F
C,2004,2:17:18,F
C,2003,2:17:18,F
C,2002,2:18:47,F
C,2001,2:21:21,F
C,2000,2:21:21,F
C,1999,2:21:21,F
C,1998,2:21:21,F
C,1997,2:21:21,F
C,1996,2:21:21,F
NY,2016,2:22:31,F
NY,2015,2:22:31,F
NY,2014,2:22:31,F
NY,2013,2:22:31,F
NY,2012,2:22:31,F
NY,2011,2:22:31,F
NY,2010,2:22:31,F
NY,2009,2:22:31,F
NY,2008,2:22:31,F
NY,2007,2:22:31,F
NY,2006,2:22:31,F
NY,2005,2:22:31,F
NY,2004,2:22:31,F
NY,2003,2:24:21,F
NY,2002,2:24:21,F
NY,2001,2:24:40,F
NY,2000,2:24:40,F
NY,1999,2:24:40,F
NY,1998,2:24:40,F
NY,1997,2:24:40,F
NY,1996,2:24:40,F
NY,1995,2:24:40,F
NY,1994,2:24:40,F
NY,1993,2:24:40,F
TC,2016,2:26:51,F
TC,2015,2:26:51,F
TC,2014,2:26:51,F
TC,2013,2:26:51,F
TC,2012,2:26:51,F
TC,2011,2:26:51,F
TC,2010,2:26:51,F
TC,2009,2:26:51,F
TC,2008,2:26:51,F
TC,2007,2:26:51,F
TC,2006,2:26:51,F
TC,2005,2:26:51,F
TC,2004,2:26:51,F
TC,2003,2:26:51,F
TC,2002,2:26:51,F
TC,2001,2:27:59,F
TC,2000,2:27:59,F
D,2016,2:26:31,F
D,2015,2:26:31,F
D,2014,2:26:31,F
D,2013,2:27:05,F
D,2012,2:27:05,F
D,2011,2:27:05,F
D,2010,2:27:05,F
D,2009,2:27:05,F
D,2008,2:27:05,F
D,2007,2:27:05,F
D,2006,2:27:05,F
D,2005,2:27:05,F
D,2004,2:27:05,F
D,2003,2:29:12,F
D,2002,2:29:12,F
D,2001,2:29:12,F
D,2000,2:29:12,F
