"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",114.273716684137,3.63094723764199,31.4721501594578,2.69150426967016e-208
"sexMale",-9.50668371377172,0.377022141108475,-25.215186794657,1.86446302469262e-136
"WBGT",0.212736944379523,0.11026791034288,1.92927338260073,0.0537224819127286
"rh",0.0622261357276672,0.0358442462930256,1.73601462335044,0.0825890949114939
"Wind",0.15483747872223,0.135596767235784,1.14189653543133,0.253521747669759
"SRWm2",0.00445928075592724,0.00332162276937616,1.34250065872614,0.179461268090226
"age",-5.5900724939203,0.0917711409757194,-60.913185065437,0
"I(age^2)",0.0798898935978914,0.000606897470378289,131.636557239388,0
"WBGT:age",0.00789144540977472,0.00224564430972667,3.51411190792509,0.000442990305873425
"rh:age",-0.00260382294304107,0.000720235714452256,-3.61523719359195,0.000301406410737125
"Wind:age",-0.00454209852235571,0.00269292456921278,-1.68667870399485,0.0916933485890218
"SRWm2:age",-0.000193337828180567,6.77040771256126e-05,-2.85563050836457,0.00430314264909821
