"cluster","treatment","Y","G","R","alpha","beta","gamma_sq","sigma_sq","c1","c2","B","niter","total_cost"
1,1,3.00340052674027,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.71096186306312,10,10,0,5,1,1,20,10,4650,1,1100
1,1,2.16816854909111,10,10,0,5,1,1,20,10,4650,1,1100
1,1,4.53475805722086,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.83305865038266,10,10,0,5,1,1,20,10,4650,1,1100
1,1,1.97028058839957,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.22923652959425,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.5962307190081,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.13746103829953,10,10,0,5,1,1,20,10,4650,1,1100
1,1,3.90230975947649,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-0.924933473332197,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-0.774647608950113,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-0.035867805915031,10,10,0,5,1,1,20,10,4650,1,1100
2,0,0.100831687427543,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-0.601279337054486,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-1.32399822625299,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-0.380387688963631,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-2.25104296316083,10,10,0,5,1,1,20,10,4650,1,1100
2,0,-1.85772457167116,10,10,0,5,1,1,20,10,4650,1,1100
2,0,0.803443658717063,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-0.93268064476177,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-0.486548148521104,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-2.11337099660387,10,10,0,5,1,1,20,10,4650,1,1100
3,0,0.0742154403906742,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-0.398267123692855,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-1.59229189195022,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-1.36286666620381,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-1.03164325101088,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-1.24618451600425,10,10,0,5,1,1,20,10,4650,1,1100
3,0,-1.76838886554013,10,10,0,5,1,1,20,10,4650,1,1100
4,0,0.113777814934969,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-1.53795351369648,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-0.759779252094259,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-1.34279357860046,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-1.57664526818707,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-0.311274596261193,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-0.270265366880299,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-0.222681316276978,10,10,0,5,1,1,20,10,4650,1,1100
4,0,-0.10982793150062,10,10,0,5,1,1,20,10,4650,1,1100
4,0,0.598479346903377,10,10,0,5,1,1,20,10,4650,1,1100
5,1,5.52373187286015,10,10,0,5,1,1,20,10,4650,1,1100
5,1,3.9541744542583,10,10,0,5,1,1,20,10,4650,1,1100
5,1,3.77974501684004,10,10,0,5,1,1,20,10,4650,1,1100
5,1,3.71767440599602,10,10,0,5,1,1,20,10,4650,1,1100
5,1,3.78013199643451,10,10,0,5,1,1,20,10,4650,1,1100
5,1,3.91516487528366,10,10,0,5,1,1,20,10,4650,1,1100
5,1,5.76551879616646,10,10,0,5,1,1,20,10,4650,1,1100
5,1,6.01363916881058,10,10,0,5,1,1,20,10,4650,1,1100
5,1,5.91880413827497,10,10,0,5,1,1,20,10,4650,1,1100
5,1,5.06162024106851,10,10,0,5,1,1,20,10,4650,1,1100
6,0,1.46141828562574,10,10,0,5,1,1,20,10,4650,1,1100
6,0,-0.382990605781129,10,10,0,5,1,1,20,10,4650,1,1100
6,0,-1.18104974097893,10,10,0,5,1,1,20,10,4650,1,1100
6,0,-0.301993934834819,10,10,0,5,1,1,20,10,4650,1,1100
6,0,-0.456762940640627,10,10,0,5,1,1,20,10,4650,1,1100
6,0,0.575278086159008,10,10,0,5,1,1,20,10,4650,1,1100
6,0,1.63622795697624,10,10,0,5,1,1,20,10,4650,1,1100
6,0,0.00795097958873175,10,10,0,5,1,1,20,10,4650,1,1100
6,0,-0.110853199097956,10,10,0,5,1,1,20,10,4650,1,1100
6,0,0.890191860996653,10,10,0,5,1,1,20,10,4650,1,1100
7,0,0.516631597068023,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.8325315637975,10,10,0,5,1,1,20,10,4650,1,1100
7,0,0.360090305839406,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.511870640699832,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.4305052018328,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.127257680271565,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.699040540240051,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.235988850124641,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.42906586196901,10,10,0,5,1,1,20,10,4650,1,1100
7,0,-0.877360862684502,10,10,0,5,1,1,20,10,4650,1,1100
8,1,3.99706417043007,10,10,0,5,1,1,20,10,4650,1,1100
8,1,3.93945501736189,10,10,0,5,1,1,20,10,4650,1,1100
8,1,5.54180805037677,10,10,0,5,1,1,20,10,4650,1,1100
8,1,3.78341403176475,10,10,0,5,1,1,20,10,4650,1,1100
8,1,3.85536336381069,10,10,0,5,1,1,20,10,4650,1,1100
8,1,4.6348833843455,10,10,0,5,1,1,20,10,4650,1,1100
8,1,5.17368417396779,10,10,0,5,1,1,20,10,4650,1,1100
8,1,5.59390647185145,10,10,0,5,1,1,20,10,4650,1,1100
8,1,3.66819706624769,10,10,0,5,1,1,20,10,4650,1,1100
8,1,6.91257024515288,10,10,0,5,1,1,20,10,4650,1,1100
9,0,0.0883054113193102,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-0.130961325329965,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-0.000153233778448114,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-0.369155722514033,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-1.67092084949229,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-1.46308387358315,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-0.821758623264654,10,10,0,5,1,1,20,10,4650,1,1100
9,0,0.106903020747967,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-1.1329037978462,10,10,0,5,1,1,20,10,4650,1,1100
9,0,-0.871572225033335,10,10,0,5,1,1,20,10,4650,1,1100
10,1,4.43319746117439,10,10,0,5,1,1,20,10,4650,1,1100
10,1,6.83942498945562,10,10,0,5,1,1,20,10,4650,1,1100
10,1,4.32281298161531,10,10,0,5,1,1,20,10,4650,1,1100
10,1,5.27321219340797,10,10,0,5,1,1,20,10,4650,1,1100
10,1,4.28074418252337,10,10,0,5,1,1,20,10,4650,1,1100
10,1,4.04259482083452,10,10,0,5,1,1,20,10,4650,1,1100
10,1,4.5731339410439,10,10,0,5,1,1,20,10,4650,1,1100
10,1,5.95581056580155,10,10,0,5,1,1,20,10,4650,1,1100
10,1,5.08163555032207,10,10,0,5,1,1,20,10,4650,1,1100
10,1,3.71697756418025,10,10,0,5,1,1,20,10,4650,1,1100
1,1,6.2608262546825,10,10,0,5,1,1,20,10,4650,2,1100
1,1,4.85100264051815,10,10,0,5,1,1,20,10,4650,2,1100
1,1,5.86466786531767,10,10,0,5,1,1,20,10,4650,2,1100
1,1,6.66322417319614,10,10,0,5,1,1,20,10,4650,2,1100
1,1,6.93150543489485,10,10,0,5,1,1,20,10,4650,2,1100
1,1,6.1468880847639,10,10,0,5,1,1,20,10,4650,2,1100
1,1,8.15639964435104,10,10,0,5,1,1,20,10,4650,2,1100
1,1,7.71799685968455,10,10,0,5,1,1,20,10,4650,2,1100
1,1,6.40418737823406,10,10,0,5,1,1,20,10,4650,2,1100
1,1,6.02876731424284,10,10,0,5,1,1,20,10,4650,2,1100
2,1,6.89881055904906,10,10,0,5,1,1,20,10,4650,2,1100
2,1,4.58391883942204,10,10,0,5,1,1,20,10,4650,2,1100
2,1,4.15534423872605,10,10,0,5,1,1,20,10,4650,2,1100
2,1,3.41089951875711,10,10,0,5,1,1,20,10,4650,2,1100
2,1,6.4762289206555,10,10,0,5,1,1,20,10,4650,2,1100
2,1,4.33534789248711,10,10,0,5,1,1,20,10,4650,2,1100
2,1,7.55865822075532,10,10,0,5,1,1,20,10,4650,2,1100
2,1,8.08076843875632,10,10,0,5,1,1,20,10,4650,2,1100
2,1,5.1010213376029,10,10,0,5,1,1,20,10,4650,2,1100
2,1,6.67700565969014,10,10,0,5,1,1,20,10,4650,2,1100
3,0,1.03780222657794,10,10,0,5,1,1,20,10,4650,2,1100
3,0,-0.878759995191579,10,10,0,5,1,1,20,10,4650,2,1100
3,0,2.12103788221859,10,10,0,5,1,1,20,10,4650,2,1100
3,0,-0.0725252760355837,10,10,0,5,1,1,20,10,4650,2,1100
3,0,0.51271245826145,10,10,0,5,1,1,20,10,4650,2,1100
3,0,1.71175093821373,10,10,0,5,1,1,20,10,4650,2,1100
3,0,1.05780280087486,10,10,0,5,1,1,20,10,4650,2,1100
3,0,1.49349728475418,10,10,0,5,1,1,20,10,4650,2,1100
3,0,0.480148542069972,10,10,0,5,1,1,20,10,4650,2,1100
3,0,2.4115679694423,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-0.190115216788132,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-0.371521401666916,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-1.44681181695172,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-1.00004597723265,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-1.08647997643476,10,10,0,5,1,1,20,10,4650,2,1100
4,0,0.182911047446483,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-0.616377995797527,10,10,0,5,1,1,20,10,4650,2,1100
4,0,0.100307690558554,10,10,0,5,1,1,20,10,4650,2,1100
4,0,0.644690227224404,10,10,0,5,1,1,20,10,4650,2,1100
4,0,-1.80787171919529,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-2.09770442560654,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-1.16756968227832,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-0.494813418194623,10,10,0,5,1,1,20,10,4650,2,1100
5,0,0.407899628473363,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-1.93225404941995,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-1.52440112736497,10,10,0,5,1,1,20,10,4650,2,1100
5,0,0.514020877335278,10,10,0,5,1,1,20,10,4650,2,1100
5,0,0.711294501696402,10,10,0,5,1,1,20,10,4650,2,1100
5,0,-3.59219350842597,10,10,0,5,1,1,20,10,4650,2,1100
5,0,2.24160984249225,10,10,0,5,1,1,20,10,4650,2,1100
6,0,0.180551016750436,10,10,0,5,1,1,20,10,4650,2,1100
6,0,-0.269555324379089,10,10,0,5,1,1,20,10,4650,2,1100
6,0,0.528215532333814,10,10,0,5,1,1,20,10,4650,2,1100
6,0,-0.305429614729139,10,10,0,5,1,1,20,10,4650,2,1100
6,0,0.0764574685839943,10,10,0,5,1,1,20,10,4650,2,1100
6,0,0.98464522320598,10,10,0,5,1,1,20,10,4650,2,1100
6,0,0.425658798494295,10,10,0,5,1,1,20,10,4650,2,1100
6,0,-0.0968120585966581,10,10,0,5,1,1,20,10,4650,2,1100
6,0,-1.11550395301468,10,10,0,5,1,1,20,10,4650,2,1100
6,0,-1.33909425566249,10,10,0,5,1,1,20,10,4650,2,1100
7,1,5.37953609443623,10,10,0,5,1,1,20,10,4650,2,1100
7,1,3.50436615838442,10,10,0,5,1,1,20,10,4650,2,1100
7,1,6.89922020572052,10,10,0,5,1,1,20,10,4650,2,1100
7,1,6.83084224571827,10,10,0,5,1,1,20,10,4650,2,1100
7,1,6.54508835239826,10,10,0,5,1,1,20,10,4650,2,1100
7,1,7.36812444121319,10,10,0,5,1,1,20,10,4650,2,1100
7,1,7.14779491369724,10,10,0,5,1,1,20,10,4650,2,1100
7,1,4.18470954557241,10,10,0,5,1,1,20,10,4650,2,1100
7,1,6.24570468808628,10,10,0,5,1,1,20,10,4650,2,1100
7,1,7.35529848512046,10,10,0,5,1,1,20,10,4650,2,1100
8,0,0.148048875656311,10,10,0,5,1,1,20,10,4650,2,1100
8,0,1.09305414796188,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-2.25992421795941,10,10,0,5,1,1,20,10,4650,2,1100
8,0,0.441944526563662,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-0.869204292852427,10,10,0,5,1,1,20,10,4650,2,1100
8,0,0.220407711092665,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-0.410503583129651,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-0.464828548397083,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-0.275192040560596,10,10,0,5,1,1,20,10,4650,2,1100
8,0,-0.243167025140561,10,10,0,5,1,1,20,10,4650,2,1100
9,0,-0.851432625013906,10,10,0,5,1,1,20,10,4650,2,1100
9,0,0.317343999222253,10,10,0,5,1,1,20,10,4650,2,1100
9,0,-1.10719613032258,10,10,0,5,1,1,20,10,4650,2,1100
9,0,0.67615977506643,10,10,0,5,1,1,20,10,4650,2,1100
9,0,0.43584307001227,10,10,0,5,1,1,20,10,4650,2,1100
9,0,-0.223795278981421,10,10,0,5,1,1,20,10,4650,2,1100
9,0,-1.44845025083119,10,10,0,5,1,1,20,10,4650,2,1100
9,0,-2.21266621848084,10,10,0,5,1,1,20,10,4650,2,1100
9,0,1.30396586510027,10,10,0,5,1,1,20,10,4650,2,1100
9,0,0.220475234074738,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.245598167583102,10,10,0,5,1,1,20,10,4650,2,1100
10,0,2.39095522240465,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.571264331772018,10,10,0,5,1,1,20,10,4650,2,1100
10,0,-0.592406240804301,10,10,0,5,1,1,20,10,4650,2,1100
10,0,-1.0365602051374,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.00859341610459197,10,10,0,5,1,1,20,10,4650,2,1100
10,0,1.37594036997817,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.909353499309125,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.649671900425269,10,10,0,5,1,1,20,10,4650,2,1100
10,0,0.109062142295969,10,10,0,5,1,1,20,10,4650,2,1100
1,1,5.42666440129692,10,10,0,5,1,1,20,10,4650,3,1100
1,1,4.87764813908916,10,10,0,5,1,1,20,10,4650,3,1100
1,1,5.18878894522638,10,10,0,5,1,1,20,10,4650,3,1100
1,1,4.95617098460271,10,10,0,5,1,1,20,10,4650,3,1100
1,1,8.05836087010861,10,10,0,5,1,1,20,10,4650,3,1100
1,1,7.70191541457138,10,10,0,5,1,1,20,10,4650,3,1100
1,1,6.12654825511643,10,10,0,5,1,1,20,10,4650,3,1100
1,1,5.53174251792328,10,10,0,5,1,1,20,10,4650,3,1100
1,1,6.26424326364514,10,10,0,5,1,1,20,10,4650,3,1100
1,1,7.17218589565621,10,10,0,5,1,1,20,10,4650,3,1100
2,1,5.23845186516694,10,10,0,5,1,1,20,10,4650,3,1100
2,1,5.52680638980515,10,10,0,5,1,1,20,10,4650,3,1100
