"cluster","treatment","Y","G","R","alpha","beta","gamma_sq","c1","c2","c1c2_ratio","B","niter","total_cost"
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,0,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
1,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,6,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,6,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,6,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
2,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,7,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,6,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,8,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,10,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
3,0,7,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,0,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,6,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,6,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,6,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,7,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,7,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
4,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,1,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,2,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,5,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,0,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,3,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,4,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,0,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,6,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,9,30,32,0,1.5,1,20,10,2,10000,1,9900
5,0,8,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,36,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,34,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,26,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,42,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,25,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,35,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,30,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,35,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,39,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,36,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,41,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,37,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,43,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,29,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,35,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,28,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,33,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,34,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,42,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,31,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,38,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,28,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,41,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,47,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,44,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,27,30,32,0,1.5,1,20,10,2,10000,1,9900
6,1,35,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,0,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,6,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,6,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,2,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,1,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,3,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,4,30,32,0,1.5,1,20,10,2,10000,1,9900
7,1,5,30,32,0,1.5,1,20,10,2,10000,1,9900
