"G","R","c1","c2","c1c2_ratio","alpha","beta","gamma_sq","sigma_sq","total_cost","beta_estimate","beta_variance","beta_bias","mse","coverage"
5,199,20,10,2,0,1.5,1,1,10000,1.62018433188325,1.12948843733255,0.120184331883255,1.13263782658945,84
5,496,20,4,5,0,1.5,1,1,10000,1.48186180108145,0.836376756151758,0.0181381989185541,0.828341982850249,82
5,991,20,2,10,0,1.5,1,1,10000,1.58137093869015,0.966450575600767,0.0813709386901502,0.963407299508075,84
5,1981,20,1,20,0,1.5,1,1,10000,1.57152473680196,1.01662493723788,0.0715247368019585,1.01157447584009,88
10,99,20,10,2,0,1.5,1,1,10000,1.40801194383852,0.346150569745709,0.091988056161483,0.35115086652462,95
10,246,20,4,5,0,1.5,1,1,10000,1.55027361255986,0.450165951678953,0.0502736125598595,0.448191728281983,92
10,491,20,2,10,0,1.5,1,1,10000,1.32769053365038,0.460007861698174,0.172309466349617,0.485098335274882,92
10,981,20,1,20,0,1.5,1,1,10000,1.55465327351477,0.426014110443825,0.0546532735147707,0.424740949645267,90
15,65,20,10,2,0,1.5,1,1,9900,1.42662070228462,0.35366789075722,0.0733792977153813,0.355515733182851,92
15,162,20,4,5,0,1.5,1,1,9960,1.49251845075133,0.272772622749577,0.00748154924866884,0.270100870101242,96
15,324,20,2,10,0,1.5,1,1,9990,1.54891698359465,0.266840764160457,0.0489169835946506,0.266565227802852,91
15,647,20,1,20,0,1.5,1,1,9990,1.45042487327609,0.314894837805526,0.0495751267239142,0.314203582617163,89
20,49,20,10,2,0,1.5,1,1,10000,1.48642519010369,0.245245394773988,0.0135748098963109,0.242977216289969,90
20,121,20,4,5,0,1.5,1,1,10000,1.48285429683323,0.215019807051115,0.0171457031667697,0.213163584117687,94
20,241,20,2,10,0,1.5,1,1,10000,1.38880165882655,0.223630040404569,0.111198341173454,0.233758811080251,93
20,481,20,1,20,0,1.5,1,1,10000,1.46942545104405,0.199101825214911,0.0305745489559521,0.198045610006622,96
25,39,20,10,2,0,1.5,1,1,10000,1.51476719270778,0.174504092586128,0.0147671927077753,0.172977121640735,94
25,96,20,4,5,0,1.5,1,1,10000,1.52421458181732,0.146105590268004,0.0242145818173218,0.145230880337912,94
25,191,20,2,10,0,1.5,1,1,10000,1.47274841878632,0.143622057777268,0.0272515812136807,0.142928485878141,95
25,381,20,1,20,0,1.5,1,1,10000,1.51261525045917,0.20216942281433,0.0126152504591672,0.200306873130334,92
30,32,20,10,2,0,1.5,1,1,9900,1.53386116755642,0.125087560098152,0.0338611675564213,0.124983263165455,94
30,79,20,4,5,0,1.5,1,1,9960,1.48367927141329,0.11886681085644,0.0163207285867144,0.117944508929477,95
30,157,20,2,10,0,1.5,1,1,9960,1.44154429129377,0.14672002633981,0.0584557087062321,0.148669895956759,92
30,314,20,1,20,0,1.5,1,1,9990,1.49007050929611,0.14523843708841,0.00992949070389271,0.143884647503165,95
