"G","R","c1","c2","c1c2_ratio","alpha","beta","gamma_sq","total_cost","beta_estimate","beta_variance","beta_bias","mse","coverage"
5,199,20,10,2,0,1.5,1,10000,1.56429816526694,1.08224872878543,0.0642981652669439,1.07556049555428,74
5,496,20,4,5,0,1.5,1,10000,1.52124911263081,0.99660991186744,0.0212491126308147,0.987095337536363,74
5,991,20,2,10,0,1.5,1,10000,1.41019314618991,1.05572578133858,0.0898068538100938,1.05323379451646,82
5,1981,20,1,20,0,1.5,1,10000,1.53116350664362,0.808360057472749,0.0311635066436242,0.801247621044349,79
10,99,20,10,2,0,1.5,1,10000,1.5070827747471,0.389181014986829,0.00708277474709784,0.385339370535078,91
10,246,20,4,5,0,1.5,1,10000,1.4279579477335,0.395081068821446,0.0720420522665026,0.396320315428001,90
10,491,20,2,10,0,1.5,1,10000,1.43235972609922,0.478089753268452,0.0676402739007791,0.47788406238914,89
10,981,20,1,20,0,1.5,1,10000,1.5375591770286,0.34544471891008,0.0375591770286019,0.343400963500045,92
15,65,20,10,2,0,1.5,1,9900,1.49633962927472,0.339847801930663,0.00366037072528425,0.336462722225203,84
15,162,20,4,5,0,1.5,1,9960,1.36435104641385,0.327937239381862,0.135648953586152,0.343058505597062,85
15,324,20,2,10,0,1.5,1,9990,1.45230903205677,0.27904067029726,0.0476909679432291,0.278524692017649,92
15,647,20,1,20,0,1.5,1,9990,1.46998321875701,0.231647441456665,0.0300167812429852,0.230231974198288,95
20,49,20,10,2,0,1.5,1,10000,1.55099113918797,0.248990295268435,0.0509911391879689,0.249100488591438,93
20,121,20,4,5,0,1.5,1,10000,1.40832465957815,0.180491578202759,0.0916753404218531,0.187091030462194,95
20,241,20,2,10,0,1.5,1,10000,1.50385924147526,0.283228808653346,0.00385924147525718,0.280411414311577,86
20,481,20,1,20,0,1.5,1,10000,1.55272680834747,0.198979768413081,0.0527268083474657,0.199770087047461,92
25,39,20,10,2,0,1.5,1,10000,1.53176405347092,0.203351107892433,0.0317640534709249,0.202326551906413,94
25,96,20,4,5,0,1.5,1,10000,1.46444730158375,0.16936680305342,0.0355526984162542,0.168937129387563,91
25,191,20,2,10,0,1.5,1,10000,1.45551899111438,0.164007080471347,0.0444810088856156,0.164345569818116,92
25,381,20,1,20,0,1.5,1,10000,1.55994224767199,0.145276553232991,0.0599422476719935,0.147416860756631,93
30,32,20,10,2,0,1.5,1,9900,1.52898804965592,0.127982823917818,0.0289880496559234,0.127543302701494,92
30,79,20,4,5,0,1.5,1,9960,1.50292767674846,0.115080200735825,0.00292767674845651,0.11393797001961,95
30,157,20,2,10,0,1.5,1,9960,1.5405912432466,0.140479343854024,0.0405912432466033,0.140722199443788,91
30,314,20,1,20,0,1.5,1,9990,1.5368723365944,0.155230559034875,0.0368723365943986,0.155037822650457,91
