"cluster","treatment","Y","G","R","alpha","beta","gamma_sq","c1","c2","c1c2_ratio","B","niter","total_cost"
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,4,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,4,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,4,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,4,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,4,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,5,15,65,0,1.5,1,20,10,2,10000,1,9900
1,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,2,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,3,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,7,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,0,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,5,15,65,0,1.5,1,20,10,2,10000,1,9900
2,1,1,15,65,0,1.5,1,20,10,2,10000,1,9900
